Jenkins
latitude, longitude
-79.389966, 43.642435
-79.390165, 43.642484
-79.39094, 43.642303
-79.391238, 43.643419
-79.391767, 43.644726
-79.392026, 43.645367
-79.392301, 43.646042
-79.392794, 43.647301
-79.393251, 43.648383
-79.393447, 43.64883
-79.39364, 43.649329
-79.3934, 43.64938
-79.392095, 43.64965
-79.392591, 43.65085
-79.392646, 43.650983
-79.392973, 43.651773
-79.393373, 43.65274
-79.393832, 43.653816
-79.39423, 43.654798
-79.394647, 43.655776
-79.395125, 43.65697
-79.395969, 43.658691
-79.394649, 43.658946
-79.394056, 43.659083
-79.394901, 43.661075
-79.394674, 43.662499
-79.395196, 43.662418
-79.395295, 43.662402
-79.39575, 43.662285
-79.396184, 43.661766
-79.394901, 43.661075
-79.394057, 43.661373
-79.393233, 43.661556
-79.392962, 43.661633
-79.392447, 43.661867
-79.391235, 43.660676
-79.39048, 43.660819
-79.389878, 43.661783
-79.39062, 43.663609
-79.391104, 43.66486
-79.392492, 43.666074
-79.393159, 43.666368
-79.393523, 43.667249
-79.39413, 43.668702
-79.394478, 43.669596
-79.394614, 43.669928
-79.394793, 43.670374
-79.395073, 43.671015
-79.39545, 43.671896
-79.396006, 43.673355
-79.396118, 43.673625
-79.396296, 43.67401
-79.396561, 43.674697
-79.396907, 43.675545
-79.39725, 43.676368
-79.397384, 43.676691
-79.397579, 43.677207
-79.397733, 43.677585
-79.397958, 43.678103
-79.398328, 43.678974
-79.398553, 43.679521
-79.39869, 43.679863
-79.398913, 43.680421
-79.399049, 43.680763
-79.399753, 43.682505
-79.400145, 43.683449
-79.400505, 43.684331
-79.400794, 43.685054
-79.401063, 43.685728
-79.401432, 43.686549
-79.401477, 43.686675
-79.402328, 43.688712
-79.403014, 43.690759
-79.401978, 43.69099
-79.401529, 43.691086
-79.40123, 43.691354
-79.40115, 43.691814
-79.401231, 43.692088
-79.401543, 43.692916
-79.401843, 43.693736
-79.402166, 43.694584
-79.402276, 43.694951
-79.402383, 43.695506
-79.402677, 43.696398
-79.402727, 43.696557
-79.402962, 43.697341
-79.403166, 43.697879
-79.40339, 43.69846
-79.403993, 43.700006
-79.404738, 43.701849
-79.404989, 43.70236
-79.405335, 43.703253
-79.405973, 43.704901
-79.406062, 43.705121
-79.404857, 43.705373
-79.403715, 43.705607
-79.402689, 43.705819
-79.401687, 43.706037
-79.401394, 43.706094
-79.400261, 43.706338
-79.398798, 43.706649
