Bob
latitude, longitude
-79.393277, 43.668882
-79.39413, 43.668702
-79.397395, 43.668039
-79.398313, 43.66784
-79.399817, 43.667511
-79.401508, 43.66716
-79.402679, 43.666913
-79.403802, 43.666663
-79.405331, 43.666369
-79.406299, 43.666165
-79.406634, 43.666099
-79.407459, 43.665924
-79.408641, 43.665677
-79.409973, 43.665388
-79.411205, 43.665132
-79.412428, 43.664877
-79.413633, 43.664609
-79.414825, 43.664347
-79.416023, 43.664085
-79.417175, 43.663834
-79.418416, 43.663557
-79.418839, 43.663467
-79.420891, 43.663027
-79.422043, 43.66277
-79.423248, 43.662509
-79.424384, 43.662221
-79.424588, 43.662178
-79.425602, 43.661954
-79.426069, 43.663015
-79.427249, 43.662763
-79.428442, 43.662502
-79.429309, 43.664581
-79.430486, 43.664315
-79.431684, 43.664053
-79.432909, 43.663763
-79.434178, 43.66352
-79.435425, 43.663249
-79.435741, 43.663984
-79.435741, 43.663984
-79.436661, 43.666115
-79.435367, 43.666377
-79.436267, 43.668551
-79.43642, 43.668941
-79.435189, 43.669191
-79.43393, 43.669447
-79.432732, 43.669694
-79.431541, 43.669939
-79.430343, 43.670182
-79.429522, 43.67024
-79.429012, 43.67006
-79.42657, 43.670557
-79.421515, 43.671611
-79.420303, 43.671841
-79.419113, 43.672097
-79.416712, 43.672599
-79.414328, 43.673138
-79.41338, 43.673331
-79.411829, 43.673688
-79.410498, 43.673964
-79.409343, 43.674247
-79.408245, 43.674621
-79.407061, 43.674867
-79.405944, 43.675081
-79.404735, 43.675328
-79.4036, 43.675554
-79.402561, 43.67579
-79.400535, 43.67637
-79.397579, 43.677207
-79.397733, 43.677585
-79.397958, 43.678103
-79.398328, 43.678974
-79.398553,43.679521
-79.39869, 43.679863
-79.398913, 43.680421
-79.399049, 43.680763
-79.399753, 43.682505
-79.400145, 43.683449
-79.400505, 43.684331
-79.400794, 43.685054
-79.401063, 43.685728
-79.401432, 43.686549
-79.401477, 43.686675
-79.402328, 43.688712
-79.403014, 43.690759
-79.401978, 43.69099
-79.401529, 43.691086
-79.40123, 43.691354
-79.40115, 43.691814
-79.401231, 43.692088
-79.401543, 43.692916
-79.401843, 43.693736
-79.402166, 43.694584
-79.402276, 43.694951
-79.402383, 43.695506
-79.402677, 43.696398
-79.402727, 43.696557
-79.402962, 43.697341
-79.403166, 43.697879
-79.40339, 43.69846
-79.403993, 43.700006
-79.404738, 43.701849
-79.405335, 43.703253
-79.405973, 43.704901
-79.406062, 43.705121
-79.404857, 43.705373
-79.403715, 43.705607
-79.402689, 43.705819
-79.401687, 43.706037
-79.401394, 43.706094
-79.400261, 43.706338
-79.398798, 43.706649
